feature1,feature2,recommendation
1.0,2.0,Relaxation Exercise
2.0,3.0,Talk Therapy
3.0,4.0,Mindfulness
4.0,5.0,Cognitive Behavioral Therapy
5.0,1.0,Deep Breathing
1.5,3.5,Yoga and Meditation
2.5,4.5,Music Therapy
3.5,5.5,Art Therapy
4.5,1.5,Progressive Muscle Relaxation
5.5,2.5,Group Support Session
1.2,2.8,Guided Imagery
2.2,3.8,Stress Management Workshop
3.2,4.8,Exercise and Physical Activity
4.2,5.8,Psychotherapy
5.2,1.8,Exposure Therapy
1.3,3.3,Time Management Training
2.3,4.3,Self-Help Books
3.3,5.3,Online Support Groups
4.3,1.3,Virtual Therapist Session
5.3,2.3,Community Counseling
